,TRANSITING,UN_STATION,DAY_OF_WEEK
338,308364.0,181STA,Saturday
339,166114.0,181STA,Sunday
340,345331.0,181STA,Thursday
341,298464.0,181STA,Tuesday
342,340151.0,181STA,Wednesday
343,80708.0,182183STSBD,Friday
344,50778.0,182183STSBD,Monday
345,77570.0,182183STSBD,Saturday
346,63453.0,182183STSBD,Sunday
347,79946.0,182183STSBD,Thursday
348,72764.0,182183STSBD,Tuesday
349,78128.0,182183STSBD,Wednesday
350,165100.0,183ST4,Friday
351,95455.0,183ST4,Monday
352,153419.0,183ST4,Saturday
353,116521.0,183ST4,Sunday
354,164208.0,183ST4,Thursday
355,148587.0,183ST4,Tuesday
356,162914.0,183ST4,Wednesday
357,141440.0,18AVD,Friday
358,71507.0,18AVD,Monday
359,130140.0,18AVD,Saturday
360,84465.0,18AVD,Sunday
361,141382.0,18AVD,Thursday
362,127393.0,18AVD,Tuesday
363,139966.0,18AVD,Wednesday
364,133651.0,18AVF,Friday
365,71391.0,18AVF,Monday
366,118177.0,18AVF,Saturday
367,71173.0,18AVF,Sunday
368,134430.0,18AVF,Thursday
369,119397.0,18AVF,Tuesday
370,133600.0,18AVF,Wednesday
371,108486.0,18AVN,Friday
372,67830.0,18AVN,Monday
373,100719.0,18AVN,Saturday
374,80511.0,18AVN,Sunday
375,107531.0,18AVN,Thursday
376,96895.0,18AVN,Tuesday
377,108980.0,18AVN,Wednesday
378,210592.0,18ST1,Friday
379,78389.0,18ST1,Monday
380,181120.0,18ST1,Saturday
381,96232.0,18ST1,Sunday
382,209329.0,18ST1,Thursday
383,168886.0,18ST1,Tuesday
384,203964.0,18ST1,Wednesday
385,115000.0,190STA,Friday
386,63065.0,190STA,Monday
387,109193.0,190STA,Saturday
388,65641.0,190STA,Sunday
389,114182.0,190STA,Thursday
390,99944.0,190STA,Tuesday
391,113066.0,190STA,Wednesday
392,291995.0,191ST1,Friday
393,173590.0,191ST1,Monday
394,262349.0,191ST1,Saturday
395,186572.0,191ST1,Sunday
396,290624.0,191ST1,Thursday
397,255313.0,191ST1,Tuesday
398,291284.0,191ST1,Wednesday
399,692467.0,1AVL,Friday
400,433302.0,1AVL,Monday
401,675612.0,1AVL,Saturday
402,527998.0,1AVL,Sunday
403,691732.0,1AVL,Thursday
404,600885.0,1AVL,Tuesday
405,675432.0,1AVL,Wednesday
406,161197.0,207ST1,Friday
407,101298.0,207ST1,Monday
408,154837.0,207ST1,Saturday
409,120262.0,207ST1,Sunday
410,161816.0,207ST1,Thursday
411,144945.0,207ST1,Tuesday
412,159758.0,207ST1,Wednesday
413,119572.0,20AVD,Friday
414,61609.0,20AVD,Monday
415,111578.0,20AVD,Saturday
416,73111.0,20AVD,Sunday
417,120655.0,20AVD,Thursday
418,109749.0,20AVD,Tuesday
419,120182.0,20AVD,Wednesday
420,23755.0,20AVN,Friday
421,13655.0,20AVN,Monday
422,22979.0,20AVN,Saturday
423,16052.0,20AVN,Sunday
424,24218.0,20AVN,Thursday
425,22244.0,20AVN,Tuesday
426,24123.0,20AVN,Wednesday
427,49948.0,215ST1,Friday
428,25900.0,215ST1,Monday
429,43418.0,215ST1,Saturday
430,32205.0,215ST1,Sunday
431,49800.0,215ST1,Thursday
432,42984.0,215ST1,Tuesday
433,49062.0,215ST1,Wednesday
434,77312.0,219ST25,Friday
435,32769.0,219ST25,Monday
436,74102.0,219ST25,Saturday
437,41600.0,219ST25,Sunday
438,77723.0,219ST25,Thursday
439,72856.0,219ST25,Tuesday
440,80475.0,219ST25,Wednesday
441,25125.0,21STG,Friday
442,15612.0,21STG,Monday
443,23512.0,21STG,Saturday
444,19462.0,21STG,Sunday
445,24000.0,21STG,Thursday
446,22270.0,21STG,Tuesday
447,24437.0,21STG,Wednesday
448,292959.0,21STQNSBRIDGEF,Friday
449,149240.0,21STQNSBRIDGEF,Monday
450,270122.0,21STQNSBRIDGEF,Saturday
451,183472.0,21STQNSBRIDGEF,Sunday
452,292863.0,21STQNSBRIDGEF,Thursday
453,250990.0,21STQNSBRIDGEF,Tuesday
454,283923.0,21STQNSBRIDGEF,Wednesday
455,74120.0,225ST25,Friday
456,34771.0,225ST25,Monday
457,68095.0,225ST25,Saturday
458,44553.0,225ST25,Sunday
459,74947.0,225ST25,Thursday
460,68961.0,225ST25,Tuesday
461,76022.0,225ST25,Wednesday
462,177027.0,231ST1,Friday
463,80107.0,231ST1,Monday
464,161654.0,231ST1,Saturday
465,92983.0,231ST1,Sunday
466,176356.0,231ST1,Thursday
467,156286.0,231ST1,Tuesday
468,177737.0,231ST1,Wednesday
469,109285.0,233ST25,Friday
470,51782.0,233ST25,Monday
471,115653.0,233ST25,Saturday
472,68964.0,233ST25,Sunday
473,116742.0,233ST25,Thursday
474,107604.0,233ST25,Tuesday
475,119907.0,233ST25,Wednesday
476,76288.0,238ST1,Friday
477,32418.0,238ST1,Monday
478,70294.0,238ST1,Saturday
479,37131.0,238ST1,Sunday
480,76290.0,238ST1,Thursday
481,66876.0,238ST1,Tuesday
482,77313.0,238ST1,Wednesday
483,470807.0,23ST1,Friday
484,196581.0,23ST1,Monday
485,416535.0,23ST1,Saturday
486,255217.0,23ST1,Sunday
487,463295.0,23ST1,Thursday
488,383723.0,23ST1,Tuesday
489,455239.0,23ST1,Wednesday
490,825799.0,23ST6,Friday
491,212482.0,23ST6,Monday
492,625982.0,23ST6,Saturday
493,284877.0,23ST6,Sunday
494,810879.0,23ST6,Thursday
495,657976.0,23ST6,Tuesday
496,786687.0,23ST6,Wednesday
497,713060.0,23STCE,Friday
498,290753.0,23STCE,Monday
499,638610.0,23STCE,Saturday
500,367881.0,23STCE,Sunday
501,706234.0,23STCE,Thursday
502,569622.0,23STCE,Tuesday
503,675497.0,23STCE,Wednesday
504,909209.0,23STFM,Friday
505,252843.0,23STFM,Monday
506,781141.0,23STFM,Saturday
507,342797.0,23STFM,Sunday
508,909403.0,23STFM,Thursday
509,722747.0,23STFM,Tuesday
510,891716.0,23STFM,Wednesday
511,717637.0,23STNR,Friday
512,276538.0,23STNR,Monday
513,587372.0,23STNR,Saturday
514,342863.0,23STNR,Sunday
515,717419.0,23STNR,Thursday
516,583456.0,23STNR,Tuesday
